heel_x,heel_y,heel_pressure,brake_overlap,accel_overlap,safety,p_heel_x_min,p_heel_x_max,p_heel_y_min,p_heel_y_max,p_heel_pressure,p_brake_overlap,p_accel_overlap
"[0.5195, 0.7171]","[0.1632, 0.3007]",43.0384541235442,0.0,32.25116727038402,0,0.780917198091715,0.8070386226416729,0.46156786413914985,0.9895112915806578,0.8001101813482677,1.0,0.8218884686389676
"[0.4522, 0.623]","[0.163, 0.2837]",50.74262082671416,0.0,29.466570377532722,0,0.4945769847679683,0.2714268360334803,0.45990103171646135,0.7441258881435983,0.37067034942398536,1.0,0.9574586499859568
"[0.5533, 0.7367]","[0.1879, 0.3469]",43.27985507844249,0.0,38.640436260742305,0,0.44626011407702537,0.599706236842146,0.8082917424313135,0.3487348450178128,0.7846062768404618,1.0,0.38756392549630303
"[0.5438, 0.7691]","[0.2333, 0.2869]",66.8659799969731,0.0,36.067331774117264,2,0.5319178464682144,0.32348795560567867,0.5055176051474533,0.7926536182291661,0.02516687102909172,1.0,0.544028000549025
"[0.3829, 0.583]","[0.1478, 0.2398]",57.15744942964502,0.0,0.1417746589007649,2,0.09429361748760597,0.09463072492358848,0.2963812078975522,0.22880560530290006,0.152778031420088,1.0,0.002828167182495189
"[0.4151, 0.6287]","[0.2518, 0.338]",36.309666823395816,0.0,35.45242204428457,0,0.2249934683612309,0.3082262238131017,0.2997829212591887,0.44762157310335027,0.758441693059583,1.0,0.5855869481760554
"[0.4943, 0.7211]","[0.2258, 0.2666]",36.18367079431517,0.0,19.965205904959163,0,0.9347471297778178,0.7633926091632994,0.6053312861814304,0.5044780558748299,0.7504641272270463,1.0,0.3156296067476865
"[0.4885, 0.6735]","[0.1397, 0.2715]",45.63636063382424,0.0,15.78271258551301,0,0.8697567143132945,0.7053097772241034,0.2274925981156405,0.5682391455762446,0.6385717119663912,1.0,0.1551050130439156
"[0.4839, 0.7141]","[0.2516, 0.3435]",29.94376983489178,0.0,28.11526589626436,0,0.8177250994261691,0.8401747862200564,0.30200360646353896,0.3843505057126245,0.4020199312972238,1.0,0.8505055574327375
"[0.4412, 0.6564]","[0.2139, 0.3361]",53.99545967838984,0.0,34.10971109030012,0,0.4012329615622212,0.5333241051723892,0.7805125963275973,0.4700302593650155,0.2434978993865896,1.0,0.6810937194856144
"[0.5775, 0.7281]","[0.114, 0.2848]",44.33920626212301,0.0,13.592653897131758,1,0.26847839934672035,0.6884451905686553,0.08551151121363774,0.7613549240515258,0.7176505746465286,1.0,0.10085251715353852
"[0.5178, 0.7755]","[0.2764, 0.3658]",43.07750693030239,0.0,37.04576417057552,0,0.7990384560696484,0.28069210648827736,0.12658222632012794,0.18825018880163336,0.7975965040645278,1.0,0.48107387886356023
"[0.514, 0.6939]","[0.2327, 0.32]",48.2434440132498,0.0,37.633388475315996,0,0.8417405021045405,0.9310910655748487,0.5135088867905319,0.688646901556579,0.4921119257728842,1.0,0.4452613398156472
"[0.6007, 0.7345]","[0.1978, 0.3014]",60.673958600428705,0.0,30.469761962994976,1,0.15012470407539208,0.621784828055334,0.9650987860601873,0.9781069138267101,0.08491929303021388,1.0,0.9625321991801361
"[0.549, 0.7071]","[0.2488, 0.3784]",42.05146422625006,0.0,21.323763697729515,0,0.4843606867128336,0.918646840372562,0.32906404876125983,0.11679964791924033,0.8642588724806257,1.0,0.38560040597266165
"[0.4689, 0.628]","[0.2149, 0.2979]",38.64351554954339,0.0,20.20621995810708,0,0.6564576394644578,0.30382585528132533,0.7661213460493548,0.9660397820329606,0.9099985489903968,1.0,0.3273932411685956
"[0.5211, 0.7232]","[0.2083, 0.2894]",58.104635479870936,0.0,40.259321315802275,0,0.7632883433764053,0.7406605269243872,0.8675100927610049,0.8322982245452977,0.13137044858474667,1.0,0.3049235757591102
"[0.4479, 0.637]","[0.1577, 0.2894]",51.610604991893624,0.0,14.887773135040952,0,0.45708439072907003,0.3680444884520846,0.3978892893264868,0.8328222621488335,0.3332689508141585,1.0,0.1307317241816167
