intended_pedal,scenario,heel_x,heel_y,heel_center_x,heel_center_y,heel_pressure,brake_pressed,accel_pressed,car_velocity_kph,heel_anchor_dx,heel_anchor_dy,actual_pressed_pedal,risk_score,safety
brake,safe_slight_right,"[0.4134, 0.5153]","[0.816, 0.8822]",0.4643,0.8491,43.87,1,0,19.77,0.0131,0.0141,brake,0.0,0
accel,safe_centered,"[0.407, 0.514]","[0.8061, 0.8658]",0.4605,0.836,46.95,0,1,37.53,0.0093,0.001,accel,0.0,0
accel,heel_left_danger,"[0.2905, 0.3882]","[0.7998, 0.8647]",0.3393,0.8322,51.72,0,1,50.01,-0.1119,-0.0028,accel,3.643,2
brake,safe_centered,"[0.4092, 0.5031]","[0.8095, 0.8734]",0.4562,0.8415,37.49,1,0,67.98,0.005,0.0065,brake,0.0,0
brake,safe_centered,"[0.395, 0.5047]","[0.7829, 0.8619]",0.4498,0.8224,48.35,1,0,26.46,-0.0014,-0.0126,brake,0.0,0
accel,panic_random_danger,"[0.6011, 0.7055]","[0.6531, 0.7307]",0.6533,0.6919,35.14,1,0,36.35,0.2021,-0.1431,brake,11.31,2
brake,brake_press_low_speed_warning,"[0.4, 0.487]","[0.7901, 0.8717]",0.4435,0.8309,32.49,1,0,11.98,-0.0077,-0.0041,brake,0.0,1
brake,brake_press_low_speed_warning,"[0.4109, 0.5056]","[0.8134, 0.8779]",0.4582,0.8457,60.44,1,0,9.17,0.007,0.0107,brake,0.0,1
brake,wrong_pedal_danger,"[0.3865, 0.4887]","[0.7821, 0.8604]",0.4376,0.8212,50.59,0,1,22.97,-0.0136,-0.0138,accel,5.5,2
accel,brake_press_low_speed_warning,"[0.4002, 0.4948]","[0.8091, 0.8746]",0.4475,0.8419,39.06,1,0,3.35,-0.0037,0.0069,brake,5.5,2
accel,safe_centered,"[0.3964, 0.5063]","[0.8078, 0.8766]",0.4513,0.8422,40.61,0,1,29.36,0.0001,0.0072,accel,0.0,0
accel,safe_centered,"[0.3808, 0.4868]","[0.7856, 0.8447]",0.4338,0.8152,40.97,0,1,12.03,-0.0174,-0.0198,accel,0.0,0
accel,panic_random_danger,"[0.2716, 0.3457]","[0.6413, 0.7165]",0.3087,0.6789,60.57,0,0,51.81,-0.1425,-0.1561,none,12.542,2
accel,heel_left_danger,"[0.2741, 0.3982]","[0.7935, 0.8606]",0.3361,0.8271,41.65,0,1,28.39,-0.1151,-0.0079,accel,3.898,2
accel,safe_centered,"[0.4065, 0.5285]","[0.8197, 0.8754]",0.4675,0.8475,38.88,0,1,28.28,0.0163,0.0125,accel,0.0,0
brake,accel_press_high_speed_warning,"[0.3957, 0.4736]","[0.8156, 0.8734]",0.4347,0.8445,61.7,0,1,59.33,-0.0165,0.0095,accel,5.5,2
brake,heel_left_warning,"[0.3749, 0.4789]","[0.8111, 0.8713]",0.4269,0.8412,46.43,1,0,0.0,-0.0243,0.0062,brake,0.8,1
accel,safe_centered,"[0.4218, 0.5062]","[0.8124, 0.8623]",0.464,0.8374,40.11,0,1,22.1,0.0128,0.0024,accel,0.0,0
brake,heel_right_warning,"[0.479, 0.5612]","[0.8077, 0.8662]",0.5201,0.837,43.02,1,0,24.01,0.0689,0.002,brake,2.735,1
